Article_ID,Title,Year,Journal,Publisher,Link,DOI,Total abundance wild bees reported,Honey bee abundance reported,Abundance per wild bee species,Select proportion,Select RAD,Comment
A29,"… the Tropical Stingless Bee (Apidae, Meliponini, and Heterotrigona itama) Honey Quality with Hives Distance to the Source of Heavy Metal Pollution in Urban …",2022,Journal of …,hindawi.com,https://www.hindawi.com/journals/jt/2022/4478082/,,NO,NO,NO,NO,NO,
A30,Is the flight and foraging activity of small-size stingless bee affected by the urban heat island? The case of Plebeia catamarcensis (Meliponini) in Cordoba city …,2022,Journal of Apicultural …,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/00218839.2022.2110431,10.1080/00218839.2022.2110431,NO,NO,NO,NO,NO,
A31,Ornamental roses for conservation of leafcutter bee pollinators,2022,Scientific Reports,nature.com,https://www.nature.com/articles/s41598-022-23041-y,,NO,NO,NO,NO,NO,
A32,Bee functional groups respond to vegetation cover and landscape diversity in a Brazilian metropolis,2022,Landscape Ecology,Springer,https://link.springer.com/article/10.1007/s10980-022-01430-y,10.1007/s10980-022-01430-y,YES,NO,YES,NO,NO,
A33,Statistical evidence that honeybees competitively reduced wild bee abundance in the Munich Botanic Garden in 2020 compared to 2019,2022,Oecologia,Springer,https://link.springer.com/article/10.1007/s00442-022-05113-y,10.1007/s00442-022-05113-y,NO,NO,NO,NO,NO,
A34,Systematic review on the non-vectorial transmission of Tick-borne encephalitis virus (TBEv),2022,Ticks and Tick-borne …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877959X22001303,,NO,NO,NO,NO,NO,
A35,The potential consequences of 'bee washing'on wild bee health and conservation,2022,International Journal for Parasitology: Parasites and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S221322442200030X,,NO,NO,NO,NO,NO,
A36,"Stingless bee resources during reforestation of the Atlantic domain of Rio De Janeiro city, Brazil",2022,Journal of Apicultural Research,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/00218839.2022.2028386,10.1080/00218839.2022.2028386,NO,NO,NO,NO,NO,
A37,The bees of Singapore (Hymenoptera: Apoidea: Anthophila): First comprehensive country checklist and conservation assessment for a Southeast Asian bee …,2022,Raffles Bulletin of …,lkcnhm.nus.edu.sg,https://lkcnhm.nus.edu.sg/wp-content/uploads/sites/10/2022/01/RBZ-2022-0004.pdf,,NO,NO,NO,NO,NO,
A38,"Interactions between the introduced European honey bee and native bees in urban areas varies by year, habitat type and native bee guild",2021,Biological Journal of the …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/133/3/725/6211042,10.1093/biolinnean/blab024,YES,YES,YES,YES,NO,
A39,The importance of wild bee communities as urban pollinators and the influence of honeybee hive density,2021,Journal of Pollination …,pollinationecology.org,https://www.pollinationecology.org/index.php/jpe/article/view/641,,NO,NO,NO,NO,NO,
A40,"Body Size Variation in a Social Sweat Bee, Halictus ligatus (Halictidae, Apoidea), across Urban Environments",2021,Insects,mdpi.com,https://www.mdpi.com/2075-4450/12/12/1086,,NO,NO,NO,NO,NO,
A41,What's in a name? Challenging the commodification of pollination through the diverse economies of'Bee Cities',2021,Journal of …,journals.librarypublishing.arizona …,https://journals.librarypublishing.arizona.edu/jpe/article/2307/galley/2503/download/,,NO,NO,NO,NO,NO,
A42,Smart Bee Houses: Designing to Support Urban Pollination,2021,Proceedings of the Eight International Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3493842.3493894,10.1145/3493842.3493894,NO,NO,NO,NO,NO,
A43,Opposing pressures of climate and land_use change on a native bee,2021,Global Change Biology,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.15468,10.1111/gcb.15468,NO,NO,NO,NO,NO,
A44,How protection of honey bees can help and hinder bee conservation,2021,Current Opinion in Insect Science,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214574521000584,,NO,NO,NO,NO,NO,
A45,Levels of polychlorinated biphenyls (PCBs) in honeybees and bee products and their evaluation with ambient air concentrations,2021,Atmospheric Environment,Elsevier,https://www.sciencedirect.com/science/article/pii/S1352231020306373,,NO,NO,NO,NO,NO,
A46,"Nesting, sex ratio and natural enemies of the giant resin bee in relation to native species in Europe",2021,Insects,mdpi.com,https://www.mdpi.com/2075-4450/12/6/545,,NO,NO,NO,NO,NO,
A47,"Potential of stingless bee farm for agriculturally based urban community development in Bandung, West Java",2021,E3S Web of Conferences,e3s-conferences.org,https://www.e3s-conferences.org/articles/e3sconf/abs/2021/82/e3sconf_icadai21_02048/e3sconf_icadai21_02048.html,,NO,NO,NO,NO,NO,
A48,CSI pollen: diversity of honey bee collected pollen studied by citizen scientists,2021,Insects,mdpi.com,https://www.mdpi.com/2075-4450/12/11/987,,NO,NO,NO,NO,NO,
A49,"Nesting behavior of the oil-collecting bee Epicharis (Triepicharis) analis Lepeletier (Hymenoptera: Apidae) in an urban area of Rio de Janeiro, RJ, Brazil",2021,Journal of Apicultural Research,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/00218839.2020.1820150,10.1080/00218839.2020.1820150,NO,NO,NO,NO,NO,
A50,"Memes, brands and the politics of post-terror togetherness: following the Manchester bee after the 2017 Manchester Arena bombing",2021,"Information, Communication &Society",Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/1369118X.2021.1942957,10.1080/1369118X.2021.1942957,NO,NO,NO,NO,NO,
A51,Wild bee functional diversity and plant associations in native and conventional plant nurseries,2021,Ecological Entomology,Wiley Online Library,https://resjournals.onlinelibrary.wiley.com/doi/abs/10.1111/een.13074,10.1111/een.13074,NO,NO,NO,NO,NO,
A52,The importance of forests in bumble bee biology and conservation,2021,Bioscience,academic.oup.com,https://academic.oup.com/bioscience/article-abstract/71/12/1234/6427255,,NO,NO,NO,NO,NO,
A53,Understanding honey bee forage requirements and the impacts of urban hives on wild bees,2021,,yorkspace.library.yorku.ca,https://yorkspace.library.yorku.ca/xmlui/handle/10315/38436,,NO,NO,NO,NO,NO,
A54,Bee hotels host a high abundance of exotic bees in an urban context,2020,Acta Oecologica,Elsevier,https://www.sciencedirect.com/science/article/pii/S1146609X20300485,,NO,NO,NO,NO,NO,
A55,A “plan bee” for cities: Pollinator diversity and plant-pollinator interactions in urban green spaces,2020,PLoS One,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0235492,,NO,NO,NO,NO,NO,
A56,"Urban fragmentation leads to lower floral diversity, with knock-on impacts on bee biodiversity",2020,Scientific Reports,https://doi.org/10.1038/s41598-020-78736-x,https://www.nature.com/articles/s41598-020-78736-x,,YES,YES,YES,YES,NO,
A57,Bee community response to local and landscape factors along an urban-rural gradient,2020,Urban Ecosystems,Springer,https://link.springer.com/article/10.1007/s11252-020-00956-w,10.1007/s11252-020-00956-w,YES,YES,YES,YES,YES,
A58,Bee species decrease and increase between the 1990s and 2018 in large urban protected sites,2020,Journal of Insect Conservation,Springer,https://link.springer.com/article/10.1007/s10841-020-00238-y,10.1007/s10841-020-00238-y,NO,NO,NO,NO,NO,
A59,Domestic gardens mitigate risk of exposure of pollinators to pesticides—An urban-rural case study using a Red Mason Bee species for biomonitoring,2020,Sustainability,mdpi.com,https://www.mdpi.com/2071-1050/12/22/9427,,NO,NO,NO,NO,NO,
A60,Functional ecology of wild bees in cities: towards a better understanding of trait-urbanization relationships,2020,Biodiversity and Conservation,Springer,https://link.springer.com/article/10.1007/s10531-020-02003-8,10.1007/s10531-020-02003-8,NO,NO,NO,NO,NO,
A61,Effect of environmental heavy metals on the expression of detoxification-related genes in honey bee Apis mellifera,2020,Apidologie,Springer,https://link.springer.com/article/10.1007/s13592-020-00751-8,10.1007/s13592-020-00751-8,NO,NO,NO,NO,NO,
A62,Characterizing the floral resources of a North American metropolis using a honey bee foraging assay,2020,Ecosphere,Wiley Online Library,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.3102,10.1002/ecs2.3102,NO,NO,NO,NO,NO,
A63,Opportunities and threats for pollinator conservation in global towns and cities,2020,Current opinion in insect science,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214574520300201,,NO,NO,NO,NO,NO,
A64,Partitioning of bee diversity at a small spatial scale in an urban arboretum,2020,Southeastern …,BioOne,https://bioone.org/journals/Southeastern-Naturalist/volume-19/issue-1/058.019.0103/Partitioning-of-Bee-Diversity-at-a-Small-Spatial-Scale-in/10.1656/058.019.0103.short,10.1656/058.019.0103.short,NO,NO,NO,NO,NO,
A65,"Effects of diseases and pests on honey bee (Apis mellifera) in different parts in Baghdad city, Iraq",2020,Plant Archives,plantarchives.org,http://www.plantarchives.org/SPECIAL%20ISSUE%2020-1/44__220-223_.pdf,,NO,NO,NO,NO,NO,
A66,"Environment Shapes the Microbiome of the Blue Orchard Bee, Osmia lignaria RRH: Environmental Drivers of Bee Microbiome",2020,Microbial ecology,Springer,https://link.springer.com/article/10.1007/s00248-020-01549-y,10.1007/s00248-020-01549-y,NO,NO,NO,NO,NO,
A67,Influence of nesting characteristics on health of wild bee communities,2020,Annual Review of Entomology,annualreviews.org,https://www.annualreviews.org/doi/abs/10.1146/annurev-ento-011019-024955,10.1146/annurev-ento-011019-024955,NO,NO,NO,NO,NO,
A68,Bee,2020,Manchester,manchesterhive.com,https://www.manchesterhive.com/view/9781526144133/9781526144133.00065.xml,,NO,NO,NO,NO,NO,
A69,Urban native bee assemblages and the impact of the introduced European honeybee on plant-pollinator networks in the southwest Australian biodiversity hotspot,2020,,espace.curtin.edu.au,https://espace.curtin.edu.au/handle/20.500.11937/84947,,NO,NO,NO,NO,NO,
A70,How to bee,2020,,Groundwood Books Ltd,,,NO,NO,NO,NO,NO,
A71,Costbenefit analysis of bee Jay Bakau resort probolinggo mangrove ecotourism management,2020,"Ecology, Environment …",envirobiotechjournals.com,http://www.envirobiotechjournals.com/EEC/FebSupplIssue2020/EEC-10.pdf,,NO,NO,NO,NO,NO,
A72,Public transport analyzing using bee colony,2020,2020 43rd International Convention …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9245432/,,NO,NO,NO,NO,NO,
A73,"Land cover composition, local plant community composition and honeybee colony density affect wild bee species assemblages in a Mediterranean …",2020,Acta Oecologica,Elsevier,https://www.sciencedirect.com/science/article/pii/S1146609X20300382,,NO,NO,NO,NO,NO,
A74,Global trends in bumble bee health,2020,Annual review of entomology,annualreviews.org,https://www.annualreviews.org/doi/abs/10.1146/annurev-ento-011118-111847,10.1146/annurev-ento-011118-111847,NO,NO,NO,NO,NO,
A75,"Room temperature solvent extraction for simple and fast determination of total concentration of Ca, Cu, Fe, Mg, Mn, and Zn in bee pollen by FAAS along with …",2020,Journal of Trace …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0946672X20300444,,NO,NO,NO,NO,NO,
A76,Does urbanization favour exotic bee species? Implications for the conservation of native bees in cities,2019,Biology …,royalsocietypublishing.org,https://royalsocietypublishing.org/doi/abs/10.1098/rsbl.2019.0574,10.1098/rsbl.2019.0574,YES,YES,YES,YES,YES,
A77,Wild pollinator activity negatively related to honey bee colony densities in urban context,2019,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222316&fbclid=IwAR3JkNbdstnkr5rhXCJva1I0kuvOCpuWOKggKNRA9XzKHgjjaFzD3Eya9bk,,NO,NO,NO,NO,NO,
A78,Local landscapes and microhabitat characteristics are important determinants of urban–suburban forest bee communities,2019,…,Wiley Online Library,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.2908,10.1002/ecs2.2908,NO,NO,NO,NO,NO,
A79,The effects of urbanization on bee communities depends on floral resource availability and bee functional traits,2019,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0225852,https://doi.org/10.1371/journal.pone.0225852,YES,YES,YES,YES,YES,
A80,Floral reward and insect visitors in six ornamental Lonicera species–plants suitable for urban bee-friendly gardens,2019,Urban Forestry &Urban …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1618866718307040,,NO,NO,NO,NO,NO,
A81,"Comparing the pollen forage pattern of stingless bee (Trigona iridipennis Smith) between rural and semi-urban areas of West Bengal, India",2019,Journal of Asia-Pacific Entomology,Elsevier,https://www.sciencedirect.com/science/article/pii/S1226861519301074,,NO,NO,NO,NO,NO,
A82,Agriculturally dominated landscapes reduce bee phylogenetic diversity and pollination services,2019,Science,science.org,https://www.science.org/doi/abs/10.1126/science.aat6016,10.1126/science.aat6016,NO,NO,NO,NO,NO,
A83,Multi_scalar drivers of biodiversity: Local management mediates wild bee community response to regional urbanization,2019,Ecological applications,Wiley Online Library,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.1869,10.1002/eap.1869,YES,YES,YES,YES,YES,
A84,"Distribution of city size: Gibrat, pareto, zipf",2019,The Mathematics of Urban Morphology,Springer,https://link.springer.com/chapter/10.1007/978-3-030-12381-9_4,10.1007/978-3-030-12381-9_4,NO,NO,NO,NO,NO,
A85,Range expansion of an already widespread bee under climate change,2019,Global Ecology and Conservation,Elsevier,https://www.sciencedirect.com/science/article/pii/S2351989419300599,,NO,NO,NO,NO,NO,
A86,Early nesting biology of the bee Caupolicana yarrowi (Cresson)(Colletidae: Diphaglossinae) and its cleptoparasite Triepeolus grandis (Friese)(Apidae: Nomadinae),2019,American Museum …,BioOne,https://bioone.org/journals/american-museum-novitates/volume-2019/issue-3931/3931.1/Early-Nesting-Biology-of-the-Bee-iCaupolicana-yarrowi-i-Cresson/10.1206/3931.1.short,10.1206/3931.1.short,NO,NO,NO,NO,NO,
A87,Artificial bee colony algorithm with generating neighbourhood solution for large scale coloured traveling salesman problem,2019,IET Intelligent Transport Systems,Wiley Online Library,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-its.2018.5359,10.1049/iet-its.2018.5359,NO,NO,NO,NO,NO,
A88,Landscape and local site variables differentially influence pollinators and pollination services in urban agricultural sites,2019,PLoS One,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0212034,,NO,NO,NO,NO,NO,
A89,From potential to practical: conserving bees in urban public green spaces,2019,Frontiers in Ecology and the …,Wiley Online Library,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/fee.2015,10.1002/fee.2015,NO,NO,NO,NO,NO,
A90,A new approach of hybrid bee colony optimized neural computing to estimate the soil compression coefficient for a housing construction project,2019,Applied Sciences,mdpi.com,https://www.mdpi.com/2076-3417/9/22/4912,,NO,NO,NO,NO,NO,
A91,Effect of the honeybee hybrid and geographic region on the honey bee venom production,2019,Journal of plant protection …,jppp.journals.ekb.eg,https://jppp.journals.ekb.eg/article_40922.html,,NO,NO,NO,NO,NO,
A92,The African honey bee,2019,,books.google.com,https://books.google.com/books?hl=en&lr=&id=eqabDwAAQBAJ&oi=fnd&pg=PT7&dq=%22wildbees%22%7C%22wild+bee%22%7C%22bee%22+%22urban%22%7C%22city%22%7C%22cities%22&ots=QOswDOhf7f&sig=Y1sBhKHzb4zQ3-P8DRVEIT52fG4,,NO,NO,NO,NO,NO,
A93,"Wild bee abundance declines with urban warming, regardless of floral density",2018,Urban Ecosystems,Springer,https://link.springer.com/article/10.1007/s11252-018-0731-4,10.1007/s11252-018-0731-4,NO,NO,NO,NO,NO,
A94,City parks vs. natural areas-is it possible to preserve a natural level of bee richness and abundance in a city park?,2018,Urban …,Springer,https://link.springer.com/article/10.1007/s11252-018-0756-8,10.1007/s11252-018-0756-8,NO,NO,NO,NO,NO,
A95,Quantifying bee assemblages and attractiveness of flowering woody landscape plants for urban pollinator conservation,2018,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0208428,,NO,NO,NO,NO,NO,
A96,"Effects of fragments and landscape characteristics on the orchid bee richness (Apidae: Euglossini) in an urban matrix, southwestern Amazonia",2018,Journal of Insect …,Springer,https://link.springer.com/article/10.1007/s10841-018-0075-7,10.1007/s10841-018-0075-7,NO,NO,NO,NO,NO,
A97,Phylogenetic homogenization of bee communities across ecoregions,2018,Global Ecology and …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12822,10.1111/geb.12822,NO,NO,NO,NO,NO,
A98,A specialist in an urban area: are cities suitable to harbour populations of the oligolectic bee Centris (Melacentris) collaris (Apidae: Centridini)?,2018,Annales Zoologici …,BioOne,https://bioone.org/journals/Annales-Zoologici-Fennici/volume-55/issue-1%E2%80%933/086.055.0101/A-Specialist-in-an-Urban-Area--Are-Cities-Suitable/10.5735/086.055.0101.short,10.5735/086.055.0101.short,NO,NO,NO,NO,NO,
A99,To mow or to mow less: Lawn mowing frequency affects bee abundance and diversity in suburban yards,2018,Biological Conservation,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006320717306201,https://doi.org/10.1016/j.biocon.2018.01.025,YES,YES,YES,YES,YES,
A100,"Bee-Flower-People Relationships, Field Biologists, and Conservation in Northwest Urban Costa Rica and Beyond.",2018,Zoosymposia,biotaxa.org,https://www.biotaxa.org/Zoosymposia/article/view/zoosymposia.12.1.4,,NO,NO,NO,NO,NO,
A101,"Rapid assessment of the orchid bee fauna (Hymenoptera: Apidae: Euglossini) in the vicinity of an urban Atlantic Forest remnant in São Paulo, Brazil",2018,Brazilian Journal of Biology,SciELO Brasil,https://www.scielo.br/j/bjb/a/88gWRMBBf4YQDjcctP4drzg/?lang=en,,NO,NO,NO,NO,NO,
A102,Forest bees are replaced in agricultural and urban landscapes by native species with different phenologies and life_history traits,2018,Global Change Biology,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.13921,10.1111/gcb.13921,NO,NO,NO,NO,NO,
A103,"Bee conservation in urban landscapes: Assessing bee assemblages, bee–attractiveness, and nutritritional value of woody landscape plants and mitigating potential …",2018,,uknowledge.uky.edu,https://uknowledge.uky.edu/entomology_etds/46/,,NO,NO,NO,NO,NO,
A104,Robust optimization of signal control parameters for unsaturated intersection based on tabu search-artificial bee colony algorithm,2018,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8375947/,,NO,NO,NO,NO,NO,
A105,Area-wide urban traffic control: A Bee Colony Optimization approach,2017,Transportation Research Part C …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0968090X17300463,,NO,NO,NO,NO,NO,
A106,"Floral abundance, richness, and spatial distribution drive urban garden bee communities",2017,Bulletin of entomological research,cambridge.org,https://www.cambridge.org/core/journals/bulletin-of-entomological-research/article/floral-abundance-richness-and-spatial-distribution-drive-urban-garden-bee-communities/A4389AF4AC64B8B04119946044F19043,10.1017/S0007485317000153,YES,YES,YES,YES,NO,
A107,Bumble bee abundance in New York City community gardens: implications for urban agriculture,2017,Urban Horticulture: Ecology …,books.google.com,https://books.google.com/books?hl=en&lr=&id=5s9BDgAAQBAJ&oi=fnd&pg=PA193&dq=%22wildbees%22%7C%22wild+bee%22%7C%22bee%22+%22urban%22%7C%22city%22%7C%22cities%22&ots=Aer8w4jOHj&sig=QwZG8vgnJyghT7oi0l2ZCjYJ12c,,NO,NO,NO,NO,NO,
A108,Big city Bombus: using natural history and land-use history to find significant environmental drivers in bumble-bee declines in urban development,2017,Royal Society open …,royalsocietypublishing.org,https://royalsocietypublishing.org/doi/abs/10.1098/rsos.170156,10.1098/rsos.170156,NO,NO,NO,NO,NO,
A109,Vegetation management and host density influence bee–parasite interactions in urban gardens,2017,Environmental …,academic.oup.com,https://academic.oup.com/ee/article-abstract/46/6/1313/4561638,,NO,NO,NO,NO,NO,
A110,The magpie and the bee: Jane Jacobs's magnificent obsession,2017,Reconsidering Jane Jacobs,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781351179775-4/magpie-bee-jane-jacobs-magnificent-obsession-richard-harris,10.4324/9781351179775-4,NO,NO,NO,NO,NO,
A111,High mitochondrial DNA diversity and lack of population structure in a solitary cavity-nesting bee in an urban landscape,2017,Biological Journal of …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/121/3/564/3096089,,NO,NO,NO,NO,NO,
A112,Bee life in the city: an analysis of the pollen provisions of Centris (Centris) flavifrons (Centridini) in an urban area,2017,Sociobiology,ojs3.uefs.br,http://ojs3.uefs.br/index.php/sociobiology/article/view/1277,,NO,NO,NO,NO,NO,
A113,Taxonomic and functional trait diversity of wild bees in different urban settings,2017,PeerJ,peerj.com,https://peerj.com/articles/3051/,https://doi.org/10.7717/peerj.3051,YES,YES,YES,YES,YES,
A114,Patterns of pollinator turnover and increasing diversity associated with urban habitats,2017,Urban Ecosystems,Springer,https://link.springer.com/article/10.1007/s11252-017-0688-8,10.1007/s11252-017-0688-8,NO,NO,NO,NO,NO,
A115,The city as a refuge for insect pollinators,2017,Conservation …,Wiley Online Library,https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/cobi.12840,10.1111/cobi.12840,NO,NO,NO,NO,NO,
A116,Interactions between bee foraging and floral resource phenology shape bee populations and communities,2017,Current opinion in insect science,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214574517300408,,NO,NO,NO,NO,NO,
A117,Bee visitors of Centaurea solstitialis L. (Asteraceae) in an urban environment in northwestern Turkey,2017,Arthropod-Plant …,Springer,https://link.springer.com/article/10.1007/s11829-017-9526-4,10.1007/s11829-017-9526-4,NO,NO,NO,NO,NO,
A118,Quantifying exposure of wild bumblebees to mixtures of agrochemicals in agricultural and urban landscapes,2017,Environmental pollution,Elsevier,https://www.sciencedirect.com/science/article/pii/S0269749116321479,,NO,NO,NO,NO,NO,
